Name,Ranking All,Ranking in 2020,Nationality,Position,Birthdate,Height,Weight,Spike,Block,Dominant hand,Country Point,Points
Ting Zhu,3,23,China,Outside Hitter,1994-11-29,198cm,78kg,327cm,305cm,Right,320.0,1190.0
Macris Carneiro,176,19,Brazil,Setter,1989-03-03,178cm,68kg,292cm,285cm,null,220.0,833.0
Gabriela Guimarães,31,13,Brazil,Outside Hitter,1994-05-19,180cm,65kg,305cm,289cm,Right,220.0,788.0
Tijana Bošković,28,3,Serbia,Opposite,1997-03-08,194cm,84kg,329cm,310cm,Left,252.0,630.5
Paola Egonu,134,2,Italy,Opposite,1998-12-18,190cm,70kg,336cm,315cm,Right,165.0,597.0
Bethania De La Cruz,23,25,Dominican Republic,Outside Hitter,1987-05-13,188cm,68kg,315cm,310cm,Right,108.0,593.6
Kelsey Robinson,180,0,USA,Outside Hitter,1992-06-25,188cm,75kg,306cm,300cm,Right,,573.0
Mayu Ishikawa,1601,1668,Japan,Outside Hitter,2000-05-14,173cm,65kg,300cm,290cm,Right,190.0,553.25
Andrea Drews,621,14,USA,Opposite,1993-12-25,191cm,77kg,316cm,312cm,Left,,540.2
Brayelin Martínez,83,0,Dominican Republic,Outside Hitter,1996-09-11,201cm,83kg,330cm,320cm,Right,108.0,538.1
Simge Şebnem Aköz,405,4,Turkey,Libero,1991-04-23,168cm,55kg,250cm,245cm,null,72.0,471.0
Yingying Li,511,75,China,Outside Hitter,2000-02-19,192cm,78kg,312cm,300cm,Right,320.0,459.0
Melissa Vargas,562,0,Cuba,Opposite,1999-10-16,194cm,76kg,320cm,310cm,Right,30.0,447.0
Léia Nicolosi,187,19,Brazil,Libero,1985-03-01,168cm,60kg,268cm,257cm,null,220.0,425.5
Mara Leão,229,357,Brazil,Middle-blocker,1991-07-26,192cm,81kg,310cm,297cm,Right,220.0,425.5
Karsta Lowe,718,1081,USA,Opposite,1993-02-02,196cm,75kg,315cm,305cm,Left,,417.0
Jineiry Martinez,677,0,Dominican Republic,Middle-blocker,1997-12-03,190cm,68kg,305cm,280cm,Right,108.0,416.1
Mayany Souza,1211,257,Brazil,Middle-blocker,1996-11-24,185cm,62kg,293cm,282cm,Right,220.0,405.5
TeTori Dixon,329,1081,USA,Middle-blocker,1992-08-04,191cm,83kg,306cm,295cm,Right,,404.0
Irina Koroleva,119,10,Russia,Middle-blocker,1991-10-04,196cm,78kg,315cm,305cm,Right,208.0,401.2
Caroline Gattaz,48,19,Brazil,Middle-blocker,1981-07-27,192cm,78kg,315cm,299cm,Right,220.0,400.0
Ana Carolina Silva,51,6,Brazil,Middle-blocker,1991-04-08,183cm,73kg,316cm,309cm,Right,220.0,374.5
Nataliya Goncharova,34,235,"Russia, Ukraine",Opposite,1989-06-01,196cm,75kg,321cm,310cm,Right,,373.0
Maja Ognjenović,58,273,Serbia,Setter,1984-08-06,183cm,68kg,300cm,293cm,Right,252.0,371.0
Ebrar Karakurt,459,24,Turkey,Outside Hitter,2000-01-17,194cm,72kg,307cm,305cm,Right,72.0,368.0
Eda Erdem Dündar,57,0,Turkey,Middle-blocker,1987-06-22,188cm,74kg,315cm,302cm,Right,72.0,367.0
Samantha Bricio,598,1837,Mexico,Outside Hitter,1994-11-22,188cm,58kg,302cm,283cm,Right,35.0,360.0
Micha Hancock,389,219,USA,Setter,1992-11-10,177cm,68kg,289cm,283cm,Right,,358.3
Yuanyuan Wang,981,75,China,Middle-blocker,1997-07-14,195cm,75kg,312cm,300cm,Right,320.0,351.0
Jordan Larson-Burbach,32,650,USA,Outside Hitter,1986-10-16,186cm,74kg,302cm,295cm,Right,,345.0
